codigo,nombre_oficial,sector,nivel,jornada,area_oficial
00-01-0001-43,Centro educativo 01,Oficial,Primaria,Matutina,Urbana
00-01-0123-45,Centro educativo 02,Oficial,Básico,Vespertina,Urbana
00-11-0245-43,Centro educativo 03,Privado,Diversificado,Matutina,Urbana
00-11-0099-41,Centro educativo 04,Oficial,Primaria,Matutina,Rural
00-09-0301-44,Centro educativo 05,Oficial,Diversificado,Vespertina,Urbana
00-09-0150-42,Centro educativo 06,Oficial,Primaria,Matutina,Urbana
00-08-0077-43,Centro educativo 07,Oficial,Primaria,Matutina,Rural
00-08-0210-40,Centro educativo 08,Privado,Básico,Matutina,Rural
00-12-0500-41,Centro educativo 10,Por cooperativa,Básico,Vespertina,Rural
00-12-0033-44,Centro educativo 11,Privado,Diversificado,Matutina,Urbana
