Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Edad,Edad_RECO,Sexo_RECO,Sector,Cod_Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Distrito,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,CC_Material_Predomina_En_Paredes_Casa,CC_Material_Predomina_En_Techo_Casa,Sc_Drenaje,Sc_Electricidad,Sc_Basura,Sc_Servicio_Internet,Sc_Neflix,CU_Leña,CU_Gas,CU_Electricidad,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Mate_Periodos_Matematicas_Semana,Lect_Periodos_Lectura_Semana,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect,estrato,N_estrato,n_estrato,peso,prob_seleccion
00-21-0033-46,7266679671.0,7,"150,945",007266679671,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 21,21.0,Diversificado,46,BACHILLERATO,1.0,16,1,0,Cooperativa,24,Urbana,11,Matutina,31,ANUAL,01-218,1,2,0,0,2,4,2,1,4,4,2,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,5,5,6,1,2,0,1,1,0,0,1,1,-0.41,0.74,1,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Cooperativa | Urbana | Matutina | BACHILLERATO | 0,3,1,3.0,0.3333333333333333
00-21-0033-46,3862303848.0,7,"150,950",003862303848,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 21,21.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Cooperativa,24,Urbana,11,Matutina,31,ANUAL,01-218,2,2,0,0,2,1,1,.,5,4,2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,5,0,1,1,0,0,1,0,0,1,1,-0.79,0.16,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Cooperativa | Urbana | Matutina | BACHILLERATO | 1,4,1,4.0,0.25
00-16-0017-46,1233111608.0,90,"146,484",001233111608,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 16,16.0,Diversificado,46,BACHILLERATO,1.0,18,3,0,Cooperativa,24,Urbana,11,Vespertina,32,ANUAL,01-645,2,2,1,0,2,1,2,3,4,4,2,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,5,0,2,1,1,0,1,0,0,0,1,1,-0.26,-0.04,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Cooperativa | Urbana | Vespertina | BACHILLERATO | 0,34,1,34.0,0.029411764705882353
00-16-0017-46,542938829.0,90,"146,540",000542938829,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 16,16.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Cooperativa,24,Urbana,11,Vespertina,32,ANUAL,01-645,2,2,0,0,2,2,2,4,5,4,4,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,5,3,2,1,1,0,1,1,0,0,0,1,0.46,1.05,2,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Cooperativa | Urbana | Vespertina | BACHILLERATO | 1,25,1,25.0,0.04
00-16-0017-46,1929361605.0,90,"146,525",001929361605,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 16,16.0,Diversificado,46,PERITO,3.0,18,3,0,Cooperativa,24,Urbana,11,Vespertina,32,ANUAL,01-645,2,2,0,0,2,1,2,1,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,3,2,2,1,1,0,0,1,0,0,1,1,-0.38,-0.29,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Cooperativa | Urbana | Vespertina | PERITO | 0,17,1,17.0,0.058823529411764705
00-16-0017-46,7077909544.0,90,"146,559",007077909544,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 16,16.0,Diversificado,46,PERITO,3.0,19,4,1,Cooperativa,24,Urbana,11,Vespertina,32,ANUAL,01-645,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,.,.,1.58,1.04,4,4,1,1,Región 1 o Metropolitana | Ciudad Capital | Cooperativa | Urbana | Vespertina | PERITO | 1,14,1,14.0,0.07142857142857142
00-01-0693-46,5136393263.0,19,"127,250",005136393263,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,17,2,0,Municipal,23,Urbana,11,Vespertina,32,ANUAL,01-307,2,2,1,0,2,3,2,3,4,4,5,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,3,0,4,1,1,0,1,1,0,0,1,1,0.15,2.36,2,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Municipal | Urbana | Vespertina | BACHILLERATO | 0,15,1,15.0,0.06666666666666667
00-01-0693-46,891153581.0,19,"127,260",000891153581,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Municipal,23,Urbana,11,Vespertina,32,ANUAL,01-307,2,2,0,0,2,2,2,4,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,5,0,2,1,1,0,1,0,0,0,1,1,0.05,0.28,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Municipal | Urbana | Vespertina | BACHILLERATO | 1,4,1,4.0,0.25
00-07-0007-46,6705253659.0,61,"136,764",006705253659,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,BACHILLERATO,1.0,17,2,0,Oficial,21,Rural,12,Vespertina,32,ANUAL,01-623,2,2,0,0,2,3,2,1,4,4,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,5,4,0,1,0,1,1,0,0,1,1,0.2,1.2,2,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Rural | Vespertina | BACHILLERATO | 0,30,1,30.0,0.03333333333333333
00-07-0007-46,7711718702.0,61,"136,762",007711718702,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Oficial,21,Rural,12,Vespertina,32,ANUAL,01-623,1,2,0,0,2,1,2,2,4,4,2,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,5,5,2,1,4,0,1,1,0,0,1,1,-0.06,0.19,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Rural | Vespertina | BACHILLERATO | 1,31,1,31.0,0.03225806451612903
00-05-8941-46,6760659116.0,11,"135,722",006760659116,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 5,5.0,Diversificado,46,BACHILLERATO,1.0,19,4,0,Oficial,21,Urbana,11,Doble,33,ANUAL,01-313,2,2,1,1,2,2,2,3,5,4,2,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,6,3,7,1,3,0,1,1,0,0,1,1,-0.06,1.27,1,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Doble | BACHILLERATO | 0,5,1,5.0,0.2
00-13-0940-46,6705893569.0,13,"145,612",006705893569,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Oficial,21,Urbana,11,Doble,33,ANUAL,01-501,2,2,0,0,2,3,2,4,5,4,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,4,1,5,1,3,0,1,1,0,0,1,1,0.11,1.1,2,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Doble | BACHILLERATO | 1,19,1,19.0,0.05263157894736842
00-13-0938-46,6631570899.0,269,"145,424",006631570899,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,PERITO,3.0,17,2,0,Oficial,21,Urbana,11,Doble,33,ANUAL,01-405,2,2,0,0,2,1,2,1,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,5,5,4,1,1,0,1,1,0,1,1,1,0.95,1.27,2,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Doble | PERITO | 0,101,2,50.5,0.019801980198019802
00-13-0939-46,1706508060.0,51,"145,559",001706508060,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,PERITO,3.0,18,3,0,Oficial,21,Urbana,11,Doble,33,ANUAL,01-501,2,2,0,0,2,4,2,4,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,3,0,1,4,0,1,0,0,0,1,1,0.5,0.88,2,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Doble | PERITO | 0,101,2,50.5,0.019801980198019802
00-13-0938-46,8636361484.0,269,"145,383",008636361484,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,PERITO,3.0,19,4,1,Oficial,21,Urbana,11,Doble,33,ANUAL,01-405,1,2,1,1,2,1,2,1,5,4,2,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,5,3,4,1,1,0,0,1,0,0,1,1,0.48,0.64,2,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Doble | PERITO | 1,244,4,61.0,0.01639344262295082
00-05-0031-46,3533349942.0,26,"135,361",003533349942,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 5,5.0,Diversificado,46,PERITO,3.0,19,4,1,Oficial,21,Urbana,11,Doble,33,ANUAL,01-504,2,2,1,0,2,3,2,4,5,5,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,3,1,1,1,0,1,0,0,0,1,1,-0.06,0.09,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Doble | PERITO | 1,244,4,61.0,0.01639344262295082
00-13-0938-46,8517141930.0,269,"145,465",008517141930,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,PERITO,3.0,18,3,1,Oficial,21,Urbana,11,Doble,33,ANUAL,01-405,2,1,0,1,2,3,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,5,0,2,1,4,0,1,1,0,1,1,1,-0.06,0.18,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Doble | PERITO | 1,244,4,61.0,0.01639344262295082
00-13-0938-46,1484978501.0,269,"145,435",001484978501,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,PERITO,3.0,18,3,1,Oficial,21,Urbana,11,Doble,33,ANUAL,01-405,2,2,0,1,2,3,2,3,1,4,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,3,1,1,0,0,1,0,0,0,1,0.05,-0.86,2,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Doble | PERITO | 1,244,4,61.0,0.01639344262295082
00-01-0594-46,5344486352.0,9,"125,980",005344486352,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,34,6,0,Oficial,21,Urbana,11,Intermedia,35,ANUAL,01-403,1,2,0,0,1,.,1,.,5,4,2,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,-1.08,-0.65,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Intermedia | BACHILLERATO | 0,4,1,4.0,0.25
00-01-0594-46,3455957151.0,9,"125,981",003455957151,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,55,6,1,Oficial,21,Urbana,11,Intermedia,35,ANUAL,01-403,2,1,0,1,1,.,1,.,2,4,5,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,2,3,1,2,0,1,0,0,0,1,1,-0.63,0.15,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Intermedia | BACHILLERATO | 1,5,1,5.0,0.2
00-21-0054-46,6894159688.0,100,"270,730",006894159688,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 21,21.0,Diversificado,46,BACHILLERATO,1.0,18,3,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-208,1,2,1,0,1,.,1,.,1,4,5,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,3,4,2,1,1,0,1,1,0,0,1,1,0.21,0.51,2,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 0,464,7,66.28571428571429,0.015086206896551725
00-18-0252-46,2185311619.0,111,"148,463",002185311619,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 18,18.0,Diversificado,46,BACHILLERATO,1.0,17,2,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-111,1,2,0,0,2,3,2,1,4,4,2,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,6,6,2,1,1,0,0,1,0,1,1,1,0.36,-0.07,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 0,464,7,66.28571428571429,0.015086206896551725
00-13-0941-46,8959970848.0,157,"145,621",008959970848,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,BACHILLERATO,1.0,18,3,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-504,2,2,0,0,1,.,2,2,4,4,5,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,5,5,0,1,1,0,1,1,0,0,1,1,0.07,0.07,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 0,464,7,66.28571428571429,0.015086206896551725
00-01-0204-46,3697034300.0,61,"124,124",003697034300,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,17,2,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-301,2,2,0,0,1,.,2,2,4,4,2,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,4,5,3,1,2,0,0,1,0,0,0,1,-0.27,2.01,1,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 0,464,7,66.28571428571429,0.015086206896551725
